n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.578867,0.49615,0.0193,0.666433,0.665906,0.9999
10000,0.383969,0.50425,0.0195,0.660932,0.66295,1
10000,0.392191,0.49755,0.0199,0.660732,0.660703,0.9998
10000,0.345369,0.50275,0.019,0.669834,0.671043,0.9999
10000,0.606727,0.50015,0.0195,0.668634,0.676948,1
10000,0.295395,0.50045,0.0198,0.664633,0.663855,0.9998
10000,0.7243,0.49755,0.0188,0.664633,0.667452,1
10000,0.571661,0.50205,0.0186,0.664933,0.672248,0.9999
10000,0.836892,0.505251,0.0197,0.673135,0.669803,0.9998
10000,0.362955,0.493549,0.0196,0.665733,0.661858,1
10000,0.673248,0.50345,0.0197,0.668034,0.669228,0.9999
10000,0.383356,0.49785,0.0195,0.666833,0.669476,0.9999
10000,0.293566,0.50005,0.02,0.664133,0.668926,1
10000,0.70359,0.49895,0.0201,0.670034,0.659259,0.9999
10000,0.526369,0.50445,0.019,0.664933,0.665499,0.9998
10000,0.45846,0.49865,0.0194,0.663933,0.669312,0.9998
10000,0.531707,0.50345,0.0197,0.665133,0.659945,0.9998
10000,0.417254,0.49785,0.02,0.671834,0.665223,0.9999
10000,0.504323,0.49785,0.0189,0.665733,0.662615,1
10000,0.666994,0.50235,0.0188,0.671234,0.665949,0.9999
10000,0.351462,0.49885,0.0193,0.656531,0.65883,0.9999
10000,0.351851,0.50245,0.0192,0.670534,0.658074,1
10000,0.789553,0.49705,0.0189,0.672434,0.672564,0.9999
10000,0.326352,0.49885,0.0196,0.665733,0.674371,1
10000,0.499038,0.50105,0.0194,0.658232,0.666507,0.9999
10000,0.336998,0.49865,0.0194,0.664433,0.669182,1
10000,0.415722,0.50265,0.0195,0.667333,0.66665,0.9999
10000,0.284832,0.49695,0.0191,0.665933,0.662572,0.9999
10000,0.401995,0.491449,0.0195,0.667433,0.667851,1
10000,0.600578,0.50275,0.0194,0.665933,0.667247,0.9998
10000,0.462884,0.50205,0.0193,0.667133,0.66774,1
10000,0.576965,0.50195,0.0195,0.668434,0.660835,1
10000,0.404279,0.49715,0.0201,0.665233,0.668063,1
10000,0.750694,0.49885,0.0198,0.667834,0.662538,0.9998
10000,0.424999,0.50155,0.0188,0.672034,0.666158,0.9998
10000,0.597957,0.50355,0.0189,0.670634,0.672798,1
10000,0.50417,0.49895,0.0191,0.661732,0.673647,0.9998
10000,0.518803,0.50195,0.0184,0.659532,0.667363,0.9998
10000,0.709429,0.50165,0.0192,0.662032,0.66858,0.9999
10000,0.364898,0.505551,0.0189,0.672935,0.666813,0.9998
10000,0.600176,0.49535,0.0202,0.660332,0.665616,0.9999
10000,0.717449,0.49525,0.0185,0.673535,0.669803,0.9999
10000,0.332105,0.49645,0.0194,0.674735,0.663953,0.9999
10000,0.352913,0.49765,0.0186,0.675035,0.675908,0.9999
10000,0.516253,0.50305,0.0193,0.671334,0.671878,0.9999
10000,0.725783,0.49725,0.0197,0.678836,0.669134,0.9998
10000,0.335354,0.49845,0.0191,0.666533,0.669589,1
10000,0.331698,0.49975,0.0187,0.664133,0.671831,0.9998
10000,0.549867,0.50305,0.0198,0.674335,0.663633,1
10000,0.455366,0.50155,0.0192,0.663433,0.670653,0.9999
10000,0.50935,0.494149,0.0198,0.669234,0.667297,1
10000,0.280814,0.49925,0.0189,0.665533,0.673405,0.9999
10000,0.656237,0.49765,0.019,0.668134,0.665827,1
10000,0.79975,0.505651,0.0192,0.669734,0.66401,1
10000,0.338792,0.50325,0.019,0.667634,0.669114,0.9999
10000,0.334585,0.49895,0.0187,0.668934,0.669512,1
10000,0.316354,0.49915,0.0192,0.671134,0.670032,1
10000,0.487133,0.50255,0.0192,0.662833,0.662254,1
10000,0.470558,0.50065,0.0189,0.670134,0.664452,1
10000,0.28691,0.50105,0.0195,0.670834,0.665291,0.9997
10000,0.52351,0.50165,0.0198,0.663833,0.667699,0.9998
10000,0.346735,0.50485,0.0193,0.660632,0.664758,1
10000,0.30577,0.49965,0.019,0.659632,0.66057,0.9999
10000,0.621688,0.49895,0.0188,0.671034,0.665371,1
10000,0.363688,0.493549,0.0192,0.664233,0.673211,1
10000,0.367462,0.505551,0.0187,0.667333,0.663685,0.9999
10000,0.504684,0.50475,0.0191,0.675335,0.65848,0.9999
10000,0.666319,0.50035,0.019,0.660732,0.668774,1
10000,0.307525,0.49795,0.0189,0.663733,0.6722,0.9999
10000,0.616104,0.49885,0.0192,0.673335,0.659994,0.9999
10000,0.321826,0.50415,0.0186,0.660932,0.669538,0.9999
10000,0.311368,0.49695,0.0197,0.670634,0.66624,0.9998
10000,0.500998,0.49855,0.0193,0.664633,0.662892,0.9998
10000,0.451772,0.50125,0.0197,0.666433,0.672994,0.9998
10000,0.421876,0.505651,0.0195,0.665733,0.668522,0.9999
10000,0.402892,0.50255,0.0195,0.665333,0.668215,0.9998
10000,0.193746,0.49805,0.0199,0.666733,0.659038,0.9996
10000,0.317286,0.50085,0.0188,0.665933,0.671619,1
10000,0.713869,0.50255,0.0199,0.671634,0.6614,1
10000,0.57979,0.50375,0.0188,0.664933,0.665188,0.9998
10000,0.352377,0.50485,0.0191,0.668334,0.665968,0.9999
10000,0.605487,0.49905,0.0187,0.668334,0.675251,0.9999
10000,0.667427,0.50275,0.0196,0.671734,0.665967,0.9999
10000,0.354968,0.50005,0.0193,0.667233,0.668591,0.9998
10000,0.636404,0.50295,0.0195,0.658632,0.671979,0.9998
10000,0.312279,0.49605,0.0193,0.664233,0.671009,1
10000,0.34331,0.50135,0.0196,0.664733,0.666316,0.9997
10000,0.449391,0.49865,0.0202,0.667734,0.662847,0.9998
10000,0.720826,0.49935,0.0193,0.671934,0.66364,0.9998
10000,0.285912,0.505951,0.0194,0.663033,0.667922,0.9998
